periodo,ventas,MO_directa,materia_prima,gastos_indirectos,
01/01/2020," 29,400.00 "," 5,000.00 "," 10,290.00 "," 1,818.18 ",
01/02/2020," 39,200.00 "," 5,000.00 "," 13,720.00 "," 1,818.18 ",
01/03/2020," 21,600.00 "," 5,000.00 "," 7,560.00 "," 1,818.18 ",
01/04/2020," 28,000.00 "," 5,000.00 "," 9,800.00 "," 1,818.18 ",
01/05/2020," 31,600.00 "," 5,000.00 "," 11,060.00 "," 1,818.18 ",
01/06/2020," 33,800.00 "," 5,000.00 "," 11,830.00 "," 1,818.18 ",
01/07/2020," 32,800.00 "," 5,000.00 "," 11,480.00 "," 1,818.18 ",
01/08/2020," 38,200.00 "," 5,000.00 "," 13,370.00 "," 1,818.18 ",
01/09/2020," 27,200.00 "," 5,000.00 "," 9,520.00 "," 1,818.18 ",
01/10/2020," 21,800.00 "," 5,000.00 "," 7,630.00 "," 1,818.18 ",
01/11/2020," 40,000.00 "," 5,000.00 "," 14,000.00 "," 1,818.18 ",
01/12/2020," 21,800.00 "," 5,000.00 "," 7,630.00 "," 1,818.18 ",
01/01/2021," 30,752.40 "," 5,500.00 "," 10,763.34 "," 2,000.00 ",
01/02/2021," 41,003.20 "," 5,500.00 "," 14,351.12 "," 2,000.00 ",
01/03/2021," 22,593.60 "," 5,500.00 "," 7,907.76 "," 2,000.00 ",
01/04/2021," 29,288.00 "," 5,500.00 "," 10,250.80 "," 2,000.00 ",
01/05/2021," 33,053.60 "," 5,500.00 "," 11,568.76 "," 2,000.00 ",
01/06/2021," 35,354.80 "," 5,500.00 "," 12,374.18 "," 2,000.00 ",
01/07/2021," 34,308.80 "," 5,500.00 "," 12,008.08 "," 2,000.00 ",
01/08/2021," 39,957.20 "," 5,500.00 "," 13,985.02 "," 2,000.00 ",
01/09/2021," 28,451.20 "," 5,500.00 "," 9,957.92 "," 2,000.00 ",
01/10/2021," 22,802.80 "," 5,500.00 "," 7,980.98 "," 2,000.00 ",
01/11/2021," 41,840.00 "," 5,500.00 "," 14,644.00 "," 2,000.00 ",
01/12/2021," 22,802.80 "," 5,500.00 "," 7,980.98 "," 2,000.00 ",
01/01/2022," 32,167.01 "," 6,050.00 "," 11,258.45 "," 2,200.00 ",
01/02/2022," 42,889.35 "," 6,050.00 "," 15,011.27 "," 2,200.00 ",
01/03/2022," 23,632.91 "," 6,050.00 "," 8,271.52 "," 2,200.00 ",
01/04/2022," 30,635.25 "," 6,050.00 "," 10,722.34 "," 2,200.00 ",
01/05/2022," 34,574.07 "," 6,050.00 "," 12,100.92 "," 2,200.00 ",
01/06/2022," 36,981.12 "," 6,050.00 "," 12,943.39 "," 2,200.00 ",
01/07/2022," 35,887.00 "," 6,050.00 "," 12,560.45 "," 2,200.00 ",
01/08/2022," 41,795.23 "," 6,050.00 "," 14,628.33 "," 2,200.00 ",
01/09/2022," 29,759.96 "," 6,050.00 "," 10,415.98 "," 2,200.00 ",
01/10/2022," 23,851.73 "," 6,050.00 "," 8,348.11 "," 2,200.00 ",
01/11/2022," 43,764.64 "," 6,050.00 "," 15,317.62 "," 2,200.00 ",
01/12/2022," 23,851.73 "," 6,050.00 "," 8,348.11 "," 2,200.00 ",
01/01/2023," 33,646.69 "," 6,655.00 "," 11,776.34 "," 2,420.00 ",
01/02/2023," 44,862.26 "," 6,655.00 "," 15,701.79 "," 2,420.00 ",
01/03/2023," 24,720.02 "," 6,655.00 "," 8,652.01 "," 2,420.00 ",
01/04/2023," 32,044.47 "," 6,655.00 "," 11,215.56 "," 2,420.00 ",
01/05/2023," 36,164.47 "," 6,655.00 "," 12,657.57 "," 2,420.00 ",
01/06/2023," 38,682.25 "," 6,655.00 "," 13,538.79 "," 2,420.00 ",
01/07/2023," 37,537.81 "," 6,655.00 "," 13,138.23 "," 2,420.00 ",
01/08/2023," 43,717.81 "," 6,655.00 "," 15,301.23 "," 2,420.00 ",
01/09/2023," 31,128.91 "," 6,655.00 "," 10,895.12 "," 2,420.00 ",
01/10/2023," 24,948.91 "," 6,655.00 "," 8,732.12 "," 2,420.00 ",
01/11/2023," 45,777.81 "," 6,655.00 "," 16,022.23 "," 2,420.00 ",
01/12/2023," 24,948.91 "," 6,655.00 "," 8,732.12 "," 2,420.00 ",
01/01/2024," 35,194.44 "," 7,320.50 "," 12,318.05 "," 2,662.00 ",
01/02/2024," 46,925.92 "," 7,320.50 "," 16,424.07 "," 2,662.00 ",
01/03/2024," 25,857.14 "," 7,320.50 "," 9,050.00 "," 2,662.00 ",
01/04/2024," 33,518.52 "," 7,320.50 "," 11,731.48 "," 2,662.00 ",
01/05/2024," 37,828.04 "," 7,320.50 "," 13,239.81 "," 2,662.00 ",
01/06/2024," 40,461.64 "," 7,320.50 "," 14,161.57 "," 2,662.00 ",
01/07/2024," 39,264.55 "," 7,320.50 "," 13,742.59 "," 2,662.00 ",
01/08/2024," 45,728.83 "," 7,320.50 "," 16,005.09 "," 2,662.00 ",
01/09/2024," 32,560.84 "," 7,320.50 "," 11,396.30 "," 2,662.00 ",
01/10/2024," 26,096.56 "," 7,320.50 "," 9,133.80 "," 2,662.00 ",
01/11/2024," 47,883.59 "," 7,320.50 "," 16,759.26 "," 2,662.00 ",
01/12/2024," 26,096.56 "," 7,320.50 "," 9,133.80 "," 2,662.00 ",
01/01/2025," 36,813.39 "," 8,052.55 "," 12,884.68 "," 2,928.20 ",
01/02/2025," 49,084.51 "," 8,052.55 "," 17,179.58 "," 2,928.20 ",
01/03/2025," 27,046.57 "," 8,052.55 "," 9,466.30 "," 2,928.20 ",
01/04/2025," 35,060.37 "," 8,052.55 "," 12,271.13 "," 2,928.20 ",
01/05/2025," 39,568.13 "," 8,052.55 "," 13,848.84 "," 2,928.20 ",
01/06/2025," 42,322.87 "," 8,052.55 "," 14,813.00 "," 2,928.20 ",
01/07/2025," 41,070.72 "," 8,052.55 "," 14,374.75 "," 2,928.20 ",
01/08/2025," 47,832.36 "," 8,052.55 "," 16,741.33 "," 2,928.20 ",
01/09/2025," 34,058.64 "," 8,052.55 "," 11,920.52 "," 2,928.20 ",
01/10/2025," 27,297.00 "," 8,052.55 "," 9,553.95 "," 2,928.20 ",
01/11/2025," 50,086.24 "," 8,052.55 "," 17,530.18 "," 2,928.20 ",
01/12/2025," 27,297.00 "," 8,052.55 "," 9,553.95 "," 2,928.20 ",
01/01/2026," 38,506.80 "," 8,857.81 "," 13,477.38 "," 3,221.02 ",
01/02/2026," 51,342.40 "," 8,857.81 "," 17,969.84 "," 3,221.02 ",
01/03/2026," 28,290.71 "," 8,857.81 "," 9,901.75 "," 3,221.02 ",
01/04/2026," 36,673.14 "," 8,857.81 "," 12,835.60 "," 3,221.02 ",
01/05/2026," 41,388.26 "," 8,857.81 "," 14,485.89 "," 3,221.02 ",
01/06/2026," 44,269.72 "," 8,857.81 "," 15,494.40 "," 3,221.02 ",
01/07/2026," 42,959.97 "," 8,857.81 "," 15,035.99 "," 3,221.02 ",
01/08/2026," 50,032.65 "," 8,857.81 "," 17,511.43 "," 3,221.02 ",
01/09/2026," 35,625.34 "," 8,857.81 "," 12,468.87 "," 3,221.02 ",
01/10/2026," 28,552.66 "," 8,857.81 "," 9,993.43 "," 3,221.02 ",
01/11/2026," 52,390.21 "," 8,857.81 "," 18,336.57 "," 3,221.02 ",
01/12/2026," 28,552.66 "," 8,857.81 "," 9,993.43 "," 3,221.02 ",
01/01/2027," 40,278.11 "," 9,743.59 "," 14,097.34 "," 3,543.12 ",
01/02/2027," 53,704.15 "," 9,743.59 "," 18,796.45 "," 3,543.12 ",
01/03/2027," 29,592.08 "," 9,743.59 "," 10,357.23 "," 3,543.12 ",
01/04/2027," 38,360.11 "," 9,743.59 "," 13,426.04 "," 3,543.12 ",
01/05/2027," 43,292.12 "," 9,743.59 "," 15,152.24 "," 3,543.12 ",
01/06/2027," 46,306.13 "," 9,743.59 "," 16,207.15 "," 3,543.12 ",
01/07/2027," 44,936.13 "," 9,743.59 "," 15,727.64 "," 3,543.12 ",
01/08/2027," 52,334.15 "," 9,743.59 "," 18,316.95 "," 3,543.12 ",
01/09/2027," 37,264.11 "," 9,743.59 "," 13,042.44 "," 3,543.12 ",
01/10/2027," 29,866.08 "," 9,743.59 "," 10,453.13 "," 3,543.12 ",
01/11/2027," 54,800.15 "," 9,743.59 "," 19,180.05 "," 3,543.12 ",
01/12/2027," 29,866.08 "," 9,743.59 "," 10,453.13 "," 3,543.12 ",
01/01/2028," 42,130.91 "," 10,717.94 "," 14,745.82 "," 3,897.43 ",
01/02/2028," 56,174.54 "," 10,717.94 "," 19,661.09 "," 3,897.43 ",
01/03/2028," 30,953.32 "," 10,717.94 "," 10,833.66 "," 3,897.43 ",
01/04/2028," 40,124.67 "," 10,717.94 "," 14,043.64 "," 3,897.43 ",
01/05/2028," 45,283.56 "," 10,717.94 "," 15,849.25 "," 3,897.43 ",
01/06/2028," 48,436.21 "," 10,717.94 "," 16,952.67 "," 3,897.43 ",
01/07/2028," 47,003.19 "," 10,717.94 "," 16,451.12 "," 3,897.43 ",
01/08/2028," 54,741.52 "," 10,717.94 "," 19,159.53 "," 3,897.43 ",
01/09/2028," 38,978.25 "," 10,717.94 "," 13,642.39 "," 3,897.43 ",
01/10/2028," 31,239.92 "," 10,717.94 "," 10,933.97 "," 3,897.43 ",
01/11/2028," 57,320.96 "," 10,717.94 "," 20,062.34 "," 3,897.43 ",
01/12/2028," 31,239.92 "," 10,717.94 "," 10,933.97 "," 3,897.43 ",
01/01/2029," 44,068.93 "," 11,789.74 "," 15,424.12 "," 4,287.18 ",
01/02/2029," 58,758.57 "," 11,789.74 "," 20,565.50 "," 4,287.18 ",
01/03/2029," 32,377.17 "," 11,789.74 "," 11,332.01 "," 4,287.18 ",
01/04/2029," 41,970.41 "," 11,789.74 "," 14,689.64 "," 4,287.18 ",
01/05/2029," 47,366.60 "," 11,789.74 "," 16,578.31 "," 4,287.18 ",
01/06/2029," 50,664.28 "," 11,789.74 "," 17,732.50 "," 4,287.18 ",
01/07/2029," 49,165.34 "," 11,789.74 "," 17,207.87 "," 4,287.18 ",
01/08/2029," 57,259.63 "," 11,789.74 "," 20,040.87 "," 4,287.18 ",
01/09/2029," 40,771.25 "," 11,789.74 "," 14,269.94 "," 4,287.18 ",
01/10/2029," 32,676.96 "," 11,789.74 "," 11,436.94 "," 4,287.18 ",
01/11/2029," 59,957.73 "," 11,789.74 "," 20,985.20 "," 4,287.18 ",
01/12/2029," 32,676.96 "," 11,789.74 "," 11,436.94 "," 4,287.18 ",
