periodo,volumen,precio_unitario,mo_directa,mo_indirecta,materia_prima,gastos_directos,gastos_indirectos
2020-01,2940,10.00,5000.00,2000.00,10290.00,1500.00,1818.18
2020-02,3908,10.03,5000.00,2000.00,13720.00,1500.00,1818.18
2020-03,2145,10.07,5000.00,2000.00,7560.00,1500.00,1818.18
2020-04,2772,10.10,5000.00,2000.00,9800.00,1500.00,1818.18
2020-05,3119,10.13,5000.00,2000.00,11060.00,1500.00,1818.18
2020-06,3327,10.16,5000.00,2000.00,11830.00,1500.00,1818.18
2020-07,3216,10.20,5000.00,2000.00,11480.00,1500.00,1818.18
2020-08,3734,10.23,5000.00,2000.00,13370.00,1500.00,1818.18
2020-09,2651,10.26,5000.00,2000.00,9520.00,1500.00,1818.18
2020-10,2117,10.30,5000.00,2000.00,7630.00,1500.00,1818.18
2020-11,3872,10.33,5000.00,2000.00,14000.00,1500.00,1818.18
2020-12,2102,10.37,5000.00,2000.00,7630.00,1500.00,1818.18
2021-01,2957,10.40,5500.00,2200.00,10763.34,1650.00,2000.00
2021-02,3931,10.43,5500.00,2200.00,14351.12,1650.00,2000.00
2021-03,2158,10.47,5500.00,2200.00,7907.76,1650.00,2000.00
2021-04,2789,10.50,5500.00,2200.00,10250.80,1650.00,2000.00
2021-05,3136,10.54,5500.00,2200.00,11568.76,1650.00,2000.00
2021-06,3345,10.57,5500.00,2200.00,12374.18,1650.00,2000.00
2021-07,3234,10.61,5500.00,2200.00,12008.08,1650.00,2000.00
2021-08,3755,10.64,5500.00,2200.00,13985.02,1650.00,2000.00
2021-09,2664,10.68,5500.00,2200.00,9957.92,1650.00,2000.00
2021-10,2129,10.71,5500.00,2200.00,7980.98,1650.00,2000.00
2021-11,3892,10.75,5500.00,2200.00,14644.00,1650.00,2000.00
2021-12,2115,10.78,5500.00,2200.00,7980.98,1650.00,2000.00
2022-01,2973,10.82,6050.00,2420.00,11258.45,1815.00,2200.00
2022-02,3953,10.85,6050.00,2420.00,15011.27,1815.00,2200.00
2022-03,2170,10.89,6050.00,2420.00,8271.52,1815.00,2200.00
2022-04,2805,10.92,6050.00,2420.00,10722.34,1815.00,2200.00
2022-05,3155,10.96,6050.00,2420.00,12100.92,1815.00,2200.00
2022-06,3365,10.99,6050.00,2420.00,12943.39,1815.00,2200.00
2022-07,3254,11.03,6050.00,2420.00,12560.45,1815.00,2200.00
2022-08,3776,11.07,6050.00,2420.00,14628.33,1815.00,2200.00
2022-09,2681,11.10,6050.00,2420.00,10415.98,1815.00,2200.00
2022-10,2141,11.14,6050.00,2420.00,8348.11,1815.00,2200.00
2022-11,3915,11.18,6050.00,2420.00,15317.62,1815.00,2200.00
2022-12,2128,11.21,6050.00,2420.00,8348.11,1815.00,2200.00
2023-01,2991,11.25,6655.00,2662.00,11776.34,1996.50,2420.00
2023-02,3974,11.29,6655.00,2662.00,15701.79,1996.50,2420.00
2023-03,2184,11.32,6655.00,2662.00,8652.01,1996.50,2420.00
2023-04,2821,11.36,6655.00,2662.00,11215.56,1996.50,2420.00
2023-05,3172,11.40,6655.00,2662.00,12657.57,1996.50,2420.00
2023-06,3384,11.43,6655.00,2662.00,13538.79,1996.50,2420.00
2023-07,3273,11.47,6655.00,2662.00,13138.23,1996.50,2420.00
2023-08,3798,11.51,6655.00,2662.00,15301.23,1996.50,2420.00
2023-09,2695,11.55,6655.00,2662.00,10895.12,1996.50,2420.00
2023-10,2154,11.58,6655.00,2662.00,8732.12,1996.50,2420.00
2023-11,3940,11.62,6655.00,2662.00,16022.23,1996.50,2420.00
2023-12,2140,11.66,6655.00,2662.00,8732.12,1996.50,2420.00
2024-01,3008,11.70,7320.50,2928.20,12318.05,2196.15,2662.00
2024-02,3997,11.74,7320.50,2928.20,16424.07,2196.15,2662.00
2024-03,2195,11.78,7320.50,2928.20,9050.00,2196.15,2662.00
2024-04,2838,11.81,7320.50,2928.20,11731.48,2196.15,2662.00
2024-05,3192,11.85,7320.50,2928.20,13239.81,2196.15,2662.00
2024-06,3403,11.89,7320.50,2928.20,14161.57,2196.15,2662.00
2024-07,3291,11.93,7320.50,2928.20,13742.59,2196.15,2662.00
2024-08,3820,11.97,7320.50,2928.20,16005.09,2196.15,2662.00
2024-09,2711,12.01,7320.50,2928.20,11396.30,2196.15,2662.00
2024-10,2166,12.05,7320.50,2928.20,9133.80,2196.15,2662.00
2024-11,3961,12.09,7320.50,2928.20,16759.26,2196.15,2662.00
2024-12,2151,12.13,7320.50,2928.20,9133.80,2196.15,2662.00
2025-01,3025,12.17,8052.55,3221.02,12884.68,2415.77,2928.20
2025-02,4020,12.21,8052.55,3221.02,17179.58,2415.77,2928.20
2025-03,2208,12.25,8052.55,3221.02,9466.30,2415.77,2928.20
2025-04,2853,12.29,8052.55,3221.02,12271.13,2415.77,2928.20
2025-05,3209,12.33,8052.55,3221.02,13848.84,2415.77,2928.20
2025-06,3421,12.37,8052.55,3221.02,14813.00,2415.77,2928.20
2025-07,3309,12.41,8052.55,3221.02,14374.75,2415.77,2928.20
2025-08,3842,12.45,8052.55,3221.02,16741.33,2415.77,2928.20
2025-09,2727,12.49,8052.55,3221.02,11920.52,2415.77,2928.20
2025-10,2179,12.53,8052.55,3221.02,9553.95,2415.77,2928.20
2025-11,3985,12.57,8052.55,3221.02,17530.18,2415.77,2928.20
